,Actual_AQI,Predicted_AQI
0,31,25.37931202236213
1,44,24.448693081146335
2,46,29.47403536371163
3,47,53.67012783532232
4,17,35.80224416397904
5,45,52.925632682349686
6,49,50.31989964694546
7,35,26.868302328307404
8,31,49.017033129243345
9,7,13.839637151286265
10,36,39.71084371708538
11,21,46.78354767032543
12,49,55.531365717753914
13,43,30.03240672844111
14,67,54.786870564781275
15,30,26.868302328307404
16,58,57.95097496491498
17,61,54.41462298829496
18,39,51.99501374113389
19,61,51.62276616464757
20,18,41.19983402303066
21,71,56.83423223545603
22,49,34.87162522276324
23,21,40.64146265830118
24,40,48.272537976270705
25,34,19.237227010337875
26,20,46.96967145856859
27,34,31.335273246143224
28,35,53.48400404707916
29,49,52.925632682349686
30,36,20.353969739796835
31,49,55.531365717753914
32,31,28.171168846009515
33,34,26.496054751821084
34,51,35.61612037573588
35,5,14.584132304258898
36,38,37.663482046410635
37,8,15.514751245474699
38,36,44.36393842316436
39,32,31.70752082262954
40,44,56.46198465896971
41,46,42.502700540732775
42,36,22.029083833985265
43,49,60.370584212076054
