,State Name,county Name,State Code,County Code,DATE,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
80259,Maryland,Anne Arundel,24,3,2024-05-26,64,Moderate,Ozone,24-003-1004,1
80260,Maryland,Anne Arundel,24,3,2024-05-27,31,Good,Ozone,24-003-1004,1
80261,Maryland,Anne Arundel,24,3,2024-05-28,47,Good,Ozone,24-003-1004,1
80262,Maryland,Anne Arundel,24,3,2024-05-29,42,Good,Ozone,24-003-1004,1
80263,Maryland,Anne Arundel,24,3,2024-05-30,44,Good,Ozone,24-003-1004,1
80264,Maryland,Anne Arundel,24,3,2024-05-31,45,Good,Ozone,24-003-1004,1
80265,Maryland,Anne Arundel,24,3,2024-06-01,61,Moderate,Ozone,24-003-1004,1
80266,Maryland,Anne Arundel,24,3,2024-06-02,50,Good,Ozone,24-003-1004,1
80267,Maryland,Anne Arundel,24,3,2024-06-03,44,Good,Ozone,24-003-1004,1
80268,Maryland,Anne Arundel,24,3,2024-06-04,64,Moderate,Ozone,24-003-1004,1
80269,Maryland,Anne Arundel,24,3,2024-06-05,33,Good,Ozone,24-003-1004,1
80270,Maryland,Anne Arundel,24,3,2024-06-06,36,Good,Ozone,24-003-1004,1
80271,Maryland,Anne Arundel,24,3,2024-06-07,49,Good,Ozone,24-003-1004,1
80272,Maryland,Anne Arundel,24,3,2024-06-08,45,Good,Ozone,24-003-1004,1
80273,Maryland,Anne Arundel,24,3,2024-06-09,44,Good,Ozone,24-003-1004,1
80274,Maryland,Anne Arundel,24,3,2024-06-10,44,Good,Ozone,24-003-1004,1
80275,Maryland,Anne Arundel,24,3,2024-06-11,35,Good,Ozone,24-003-1004,1
80276,Maryland,Anne Arundel,24,3,2024-06-12,48,Good,Ozone,24-003-1004,1
80277,Maryland,Anne Arundel,24,3,2024-06-13,49,Good,Ozone,24-003-1004,1
80278,Maryland,Anne Arundel,24,3,2024-06-14,80,Moderate,Ozone,24-003-1004,1
80279,Maryland,Anne Arundel,24,3,2024-06-15,46,Good,Ozone,24-003-1004,1
80280,Maryland,Anne Arundel,24,3,2024-06-16,49,Good,Ozone,24-003-1004,1
80281,Maryland,Anne Arundel,24,3,2024-06-17,47,Good,Ozone,24-003-1004,1
80282,Maryland,Anne Arundel,24,3,2024-06-18,47,Good,Ozone,24-003-1004,1
80283,Maryland,Anne Arundel,24,3,2024-06-19,46,Good,Ozone,24-003-1004,1
80284,Maryland,Anne Arundel,24,3,2024-06-20,46,Good,Ozone,24-003-1004,1
80285,Maryland,Anne Arundel,24,3,2024-06-21,87,Moderate,Ozone,24-003-1004,1
80286,Maryland,Anne Arundel,24,3,2024-06-23,44,Good,Ozone,24-003-1004,1
80287,Maryland,Anne Arundel,24,3,2024-06-24,46,Good,Ozone,24-003-1004,1
80288,Maryland,Anne Arundel,24,3,2024-06-25,61,Moderate,Ozone,24-003-1004,1
80289,Maryland,Anne Arundel,24,3,2024-06-26,71,Moderate,Ozone,24-003-1004,1
80290,Maryland,Anne Arundel,24,3,2024-06-27,67,Moderate,Ozone,24-003-1004,1
80291,Maryland,Anne Arundel,24,3,2024-06-28,45,Good,Ozone,24-003-1004,1
80292,Maryland,Anne Arundel,24,3,2024-06-29,42,Good,Ozone,24-003-1004,1
80293,Maryland,Anne Arundel,24,3,2024-06-30,44,Good,Ozone,24-003-1004,1
80294,Maryland,Anne Arundel,24,3,2024-07-01,32,Good,Ozone,24-003-1004,1
80295,Maryland,Anne Arundel,24,3,2024-07-02,44,Good,Ozone,24-003-1004,1
80296,Maryland,Anne Arundel,24,3,2024-07-03,44,Good,Ozone,24-003-1004,1
80297,Maryland,Anne Arundel,24,3,2024-07-04,67,Moderate,Ozone,24-003-1004,1
80298,Maryland,Anne Arundel,24,3,2024-07-05,49,Good,Ozone,24-003-1004,1
80299,Maryland,Anne Arundel,24,3,2024-07-07,74,Moderate,Ozone,24-003-1004,1
80300,Maryland,Anne Arundel,24,3,2024-07-08,97,Moderate,Ozone,24-003-1004,1
80301,Maryland,Anne Arundel,24,3,2024-07-09,47,Good,Ozone,24-003-1004,1
80302,Maryland,Anne Arundel,24,3,2024-07-10,33,Good,Ozone,24-003-1004,1
80303,Maryland,Anne Arundel,24,3,2024-07-11,58,Moderate,Ozone,24-003-1004,1
80304,Maryland,Anne Arundel,24,3,2024-07-12,45,Good,Ozone,24-003-1004,1
80305,Maryland,Anne Arundel,24,3,2024-07-13,71,Moderate,Ozone,24-003-1004,1
80306,Maryland,Anne Arundel,24,3,2024-07-14,67,Moderate,Ozone,24-003-1004,1
80307,Maryland,Anne Arundel,24,3,2024-07-15,84,Moderate,Ozone,24-003-1004,1
80308,Maryland,Anne Arundel,24,3,2024-07-16,87,Moderate,Ozone,24-003-1004,1
80309,Maryland,Anne Arundel,24,3,2024-07-18,49,Good,Ozone,24-003-1004,1
80310,Maryland,Anne Arundel,24,3,2024-07-19,61,Moderate,Ozone,24-003-1004,1
80311,Maryland,Anne Arundel,24,3,2024-07-20,42,Good,Ozone,24-003-1004,1
80312,Maryland,Anne Arundel,24,3,2024-07-21,77,Moderate,Ozone,24-003-1004,1
80313,Maryland,Anne Arundel,24,3,2024-07-22,35,Good,Ozone,24-003-1004,1
80314,Maryland,Anne Arundel,24,3,2024-07-23,80,Moderate,Ozone,24-003-1004,1
80315,Maryland,Anne Arundel,24,3,2024-07-24,49,Good,Ozone,24-003-1004,1
